"point_id";"category_id";"point_name";"door_number";"postal_code";"address";"longitude";"latitude";"altitude";"opens_hours";"closes_hours";"contact_mobile";"contact_landline";"point_url";"image_url";"sustainability";"price";"crowding";"visit_time"
"1";"7";"Castelo de São Jorge";"1";"971";"Rua de Santa Cruz do Castelo";"-9.1334762";"38.7139092";"90";"9";"18";"0";"218800620";"http://castelodesaojorge.pt/pt/";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Castelo_de_S%C3%A3o_Jorge_%2810251035013%29.jpg/1024px-Castelo_de_S%C3%A3o_Jorge_%2810251035013%29.jpg";"3";"10";"0";"70"
"2";"2";"Capela Nossa Senhora da Saúde";"1";"854";"Rua da Mouraria";"-9.13569194";"38.71586278";"25";"0";"24";"0";"218862093";"na";"https://www.guiadacidade.pt/assets/capas_poi/capa_24149.jpg";"5";"0";"0";"30"
"3";"5";"Tasquinha A Vaidosa";"58";"704";"Rua do Terreirinho ";"-9.13441912";"38.71695138";"37";"9";"22";"0";"218867337";"https://www.zomato.com/pt/grande-lisboa/tasquinha-a-vaidosa-mouraria-lisboa";"https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Pal%C3%A1cio_da_Rosa%2C_Lisboa%2C_Portugal_02.jpg/1024px-Pal%C3%A1cio_da_Rosa%2C_Lisboa%2C_Portugal_02.jpg";"2";"7.5";"0";"45"
"4";"7";"Palácio da Rosa";"1";"976";"Largo da Rosa";"-9.1346331";"38.714776";"55";"0";"24";"0";"0";"na";"https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Pal%C3%A1cio_da_Rosa%2C_Lisboa%2C_Portugal_02.jpg/1024px-Pal%C3%A1cio_da_Rosa%2C_Lisboa%2C_Portugal_02.jpg";"1";"0";"0";"70"
"5";"1";"Pérola do Rossio";"105";"898";"Praça Dom Pedro IV";"-9.13862817";"38.71356062";"19";"10";"19";"0";"213420744";"https://www.peroladorossio.pt/";"https://media.timeout.com/images/104095794/630/472/image.jpg";"1";"0";"0";"20"
"6";"6";"Casa dos Bicos - Fundação José Saramago";"10";"965";"Rua dos Bacalhoeiros ";"-9.1326586";"38.709058";"18";"10";"18";"0";"218802040";"https://www.josesaramago.org/onde-estamos/";"https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/CasaBicos1.jpg/800px-CasaBicos1.jpg";"2";"3";"0";"90"
"7";"3";"Miradouro do Recolhimento";"1";"971";"R. do Recolhimento";"-9.13171991";"38.71267494";"81";"10";"19";"915225592";"0";"https://www.lisbonlux.com/lisbon/miradouro-do-recolhimento.html";"https://www.lisbonlux.com/images/lisbon/miradouro-recolhimento.jpg";"5";"0";"0";"15"
"8";"3";"Miradouro de Santa Luzia";"1";"613";"Largo de santa Luzia";"-9.13034395";"38.71159619";"51";"0";"24";"0";"0";"https://www.lisbonlux.com/lisbon/miradouro-de-santa-luzia.html";"https://www.lisbonlux.com/images/lisbon/miradouro-de-santa-luzia.jpg";"1";"0";"0";"15"
"9";"7";"Elevador da Bica";"234";"1091";"Rua de S. Paulo 234";"-9.14669643";"38.70858166";"22";"7";"21";"0";"0";"http://www.carris.pt/pt/ascensores-e-elevador/";"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Lisboa_-_Ascensor_da_Bica_%281%29.jpg/235px-Lisboa_-_Ascensor_da_Bica_%281%29.jpg";"5";"3.7";"0";"20"
"10";"7";"Elevador de Santa Justa";"1";"1090";"Rua do Ouro";"-9.1394235";"38.71212908";"32";"8";"21";"0";"214138679";"http://www.carris.pt/pt/ascensores-e-elevador/";"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg/800px-Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg";"2";"5.15";"0";"20"
"11";"7";"Elevador da Glória";"6";"1249";"Calçada da Glória, 1250-001 Lisboa";"-9.14335103";"38.71539594";"42";"7";"24";"0";"213500115";"http://www.carris.pt/pt/ascensores-e-elevador/";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Tram_in_Lisboa_pic-005.JPG/800px-Tram_in_Lisboa_pic-005.JPG";"3";"3.7";"0";"30"
"12";"2";"Igreja de São Nicolau";"1";"482";"R. da Vitória Igreja";"-9.13669238";"38.71093597";"26";"8";"23";"0";"218879549";"http://www.paroquiasaonicolau.pt/";;"3";"0";"0";"30"
"13";"1";"Nicolau Café";"17";"553";"R. São Nicolau ";"-9.1364516";"38.7105554";"27";"9";"20";"0";"218860312";"http://www.ilovenicolau.com/en/";"http://www.ilovenicolau.com/media/filer_public_thumbnails/filer_public/9a/46/9a466384-3c20-4563-8497-235e34f9161e/ilovenicolau_slide5.jpg__1140x760_q85_crop-center_subsampling-2.jpg";"1";"10";"0";"20"
"14";"8";"Praça do Comércio";"1";"952";"Praça do Comércio";"-9.1364489";"38.707532";"11";"0";"24";"0";"0";"https://www.lisbonlux.com/lisbon/praca-do-comercio.html";"https://nit.pt/wp-content/uploads/2018/07/f2da8f1c626b617f3061de5ae9ef8e43-754x394.jpg";"5";"0";"0";"15"
"15";"3";"Cais das Colunas";"1";"952";"Praça do Comércio";"-9.1360868";"38.70661524";"2";"0";"24";"0";"0";"na";"https://pt.wikipedia.org/wiki/Cais_das_Colunas#/media/File:Lisbon_With_Langon_-_01_(3466311681).jpg";"2";"0";"0";"15"
"16";"6";"Museu de Lisboa - Torreão Poente";"1";"1017";"Praça do Comércio";"-9.13726697";"38.7067785";"8";"10";"18";"0";"217513200";"http://www.museudelisboa.pt/equipamentos/torreao-poente.html";"http://www.museudelisboa.pt/fileadmin/museu_lisboa/_processed_/csm_torreao_poente_banner_c49a31261f.png";"3";"3";"0";"70"
"17";"6";"Museu do Design e da Moda";"24";"1047";"Rua Augusta";"-9.1369361";"38.7090582";"20";"10";"18";"0";"218886117";"http://www.mude.pt/";"http://www.mude.pt/https://www.playocean.net/i/portugal/lisboa/museus/mude-museu-design-moda/mude-museu-design-moda-2.jpg";"5";"0";"0";"70"
"18";"3";"Arco da Rua Augusta";"2";"1047";"Rua Augusta";"-9.13682345";"38.70839262";"14";"0";"24";"0";"0";"na";"http://www.cm-lisboa.pt/uploads/pics/LFP_Arco_Rua_Augusta_inauguracao_10.jpg";"1";"0";"0";"15"
"19";"2";"Igreja da Nossa Senhora da Conceição Velha";"108";"1084";"Rua da Alfândega";"-9.13423873";"38.70896476";"20";"10";"20";"0";"218870202";"na";"https://c1.staticflickr.com/6/5583/14604202910_83294ee3ab_b.jpg";"3";"0";"0";"30"
